Contract,Date,Type,Strike,Last,Bid,Ask,Change,Pct_Change,Volume,OI,IV
SPY260406C00560000,4/3/2026,Call,560,68.11,67.55,68.25,0.00,0.00%,0,1455,53.13%
SPY260406C00565000,4/3/2026,Call,565,63.33,62.54,63.25,0.00,0.00%,0,295,51.30%
SPY260406C00570000,4/3/2026,Call,570,57.92,57.55,58.24,0.00,0.00%,0,609,49.54%
SPY260406C00575000,4/3/2026,Call,575,52.96,52.54,53.24,0.00,0.00%,0,2077,47.78%
SPY260406C00580000,4/3/2026,Call,580,47.87,47.53,48.22,0.00,0.00%,0,3191,46.01%
SPY260406C00585000,4/3/2026,Call,585,42.87,42.52,43.21,0.00,0.00%,0,4062,44.23%
SPY260406C00590000,4/3/2026,Call,590,37.87,37.51,38.19,0.00,0.00%,0,13710,42.45%
SPY260406C00595000,4/3/2026,Call,595,32.89,32.52,33.15,0.00,0.00%,0,17521,40.68%
SPY260406C00600000,4/3/2026,Call,600,27.93,27.53,28.10,0.00,0.00%,0,74617,38.91%
SPY260406C00605000,4/3/2026,Call,605,23.09,22.68,23.29,0.00,0.00%,0,35553,37.20%
SPY260406C00610000,4/3/2026,Call,610,18.42,18.04,18.62,0.00,0.00%,0,100437,35.52%
SPY260406C00615000,4/3/2026,Call,615,14.01,13.78,14.25,0.00,0.00%,0,106791,33.94%
SPY260406C00620000,4/3/2026,Call,620,10.11,9.89,10.18,0.00,0.00%,0,393267,32.52%
SPY260406C00625000,4/3/2026,Call,625,6.79,6.73,6.87,0.00,0.00%,0,448826,31.30%
SPY260406C00630000,4/3/2026,Call,630,4.26,4.22,4.31,0.00,0.00%,0,1137742,30.36%
SPY260406C00635000,4/3/2026,Call,635,2.46,2.44,2.48,0.00,0.00%,0,1266455,29.69%
SPY260406C00640000,4/3/2026,Call,640,1.32,1.30,1.33,0.00,0.00%,0,1527407,29.31%
SPY260406C00645000,4/3/2026,Call,645,0.65,0.64,0.66,0.00,0.00%,0,1124985,29.20%
SPY260406C00650000,4/3/2026,Call,650,0.30,0.29,0.31,0.00,0.00%,0,1035067,29.34%
SPY260406C00655000,4/3/2026,Call,655,0.14,0.13,0.15,0.00,0.00%,0,516461,29.73%
SPY260406C00660000,4/3/2026,Call,660,0.07,0.06,0.08,0.00,0.00%,0,481974,30.31%
SPY260406C00665000,4/3/2026,Call,665,0.04,0.03,0.05,0.00,0.00%,0,209917,31.07%
SPY260406C00670000,4/3/2026,Call,670,0.03,0.02,0.04,0.00,0.00%,0,296264,31.97%
SPY260406P00560000,4/3/2026,Put,560,0.04,0.03,0.05,0.00,0.00%,0,400960,53.19%
SPY260406P00565000,4/3/2026,Put,565,0.06,0.05,0.07,0.00,0.00%,0,271024,50.85%
SPY260406P00570000,4/3/2026,Put,570,0.09,0.08,0.10,0.00,0.00%,0,531779,48.62%
SPY260406P00575000,4/3/2026,Put,575,0.14,0.13,0.15,0.00,0.00%,0,712876,46.53%
SPY260406P00580000,4/3/2026,Put,580,0.21,0.20,0.22,0.00,0.00%,0,949256,44.55%
SPY260406P00585000,4/3/2026,Put,585,0.33,0.32,0.34,0.00,0.00%,0,1339817,42.66%
SPY260406P00590000,4/3/2026,Put,590,0.51,0.50,0.52,0.00,0.00%,0,2210822,40.85%
SPY260406P00595000,4/3/2026,Put,595,0.78,0.77,0.80,0.00,0.00%,0,2824553,39.14%
SPY260406P00600000,4/3/2026,Put,600,1.19,1.17,1.20,0.00,0.00%,0,4481508,37.50%
SPY260406P00605000,4/3/2026,Put,605,1.80,1.78,1.82,0.00,0.00%,0,3472827,35.96%
SPY260406P00610000,4/3/2026,Put,610,2.72,2.69,2.74,0.00,0.00%,0,4015097,34.52%
SPY260406P00615000,4/3/2026,Put,615,4.07,4.04,4.10,0.00,0.00%,0,3558283,33.22%
SPY260406P00620000,4/3/2026,Put,620,6.13,6.09,6.15,0.00,0.00%,0,3890721,32.12%
SPY260406P00625000,4/3/2026,Put,625,9.11,9.07,9.17,0.00,0.00%,0,2388665,31.30%
SPY260406P00630000,4/3/2026,Put,630,13.50,13.44,13.59,0.00,0.00%,0,2028636,30.82%
SPY260406P00635000,4/3/2026,Put,635,19.61,19.52,19.70,0.00,0.00%,0,829524,30.73%
SPY260406P00640000,4/3/2026,Put,640,27.44,27.31,27.58,0.00,0.00%,0,557498,31.07%
SPY260406P00645000,4/3/2026,Put,645,36.20,35.99,36.37,0.00,0.00%,0,198432,31.80%
SPY260406P00650000,4/3/2026,Put,650,45.60,45.31,45.80,0.00,0.00%,0,82327,32.84%
SPY260406P00655000,4/3/2026,Put,655,55.17,54.79,55.43,0.00,0.00%,0,51861,33.95%
SPY260406P00660000,4/3/2026,Put,660,64.89,64.31,65.04,0.00,0.00%,0,49609,35.06%
SPY260406P00665000,4/3/2026,Put,665,74.63,73.84,74.62,0.00,0.00%,0,32268,36.14%
SPY260406P00670000,4/3/2026,Put,670,84.37,83.37,84.27,0.00,0.00%,0,25428,37.19%
